Certification Type, Firm Name, Owners, Work Decsription, Business Profile, NAICS Codes, Physical Address, Mailing Address, Phone Number, Fax Number, Email Address, Website
DBE,"Combine Construction, Inc.","Antonetta Combine, John Combine","Commercial and institutional building construction, highway, street and bridge construction, site preparation contractors, water and sewer line and related structures construction, other heavy highway civil engineering construction, poured concrete foundation and structure contractors, structural steel and pre-cast concrete contractors, other foundation, structure and building exterior contractors, and trucking services.",,"236220, 237110, 237310, 237990, 238110, 238120, 238190, 238910, 484220",1306 Furnace Road  Sharon PA 16146,1306 Furnace Road  Sharon PA 16146,724-346-1132,724-346-2320,combineconstructioninc@gmail.com,http://www.combineconstructioninc.com,
DBE,"Commercial Fabricators, Inc.","Richard Tucker, Ms. Diann Icenhour, Mr. Richard J Tucker Jr.","Miscellaneous steel manufacturing specializing in handrails, stairs, ladders, and light structural steel",,"332322, 332323, 332999, 423510, 423710",2045 Industrial Drive  Newton NC 28658,P.O. Box 165  Newton NC 28658,828-465-1010,828-464-6792,nrowe@commfab.com,http://www.commfab.com,
DBE,"Comprehensive Relocation and Housing Services, LLC",Mr. Eric C Hearn,"Relocation services, consulting, and support; administrative, management, and general management consulting services",,541611,411 Old Hickory Drive  Pittsburgh PA 15235,411 Old Hickory Drive  Pittsburgh PA 15235,412-478-6813,,ehearn@relocationandhousing.com,http://www.relocationandhousing.com,
DBE,Concrete Rose Construction LLC,Ms. Tina Daniels,"Residential and small commercial construction rehabilitation services including drywall, painting, flooring, and carpentry",,"238110, 238310, 238320, 238330, 238350",138 East Agnew Avenue  Pittsburgh PA 15210,138 East Agnew Avenue  Pittsburgh PA 15210,412-897-9775,,Tina@ConcreteRoseConstruction.com,http://www.concreteroseconstruction.com,
DBE,Connections 4 Success LLC,Ms. Vanessa S Dodds,"Provides business consulting and organizational development to include business analysis, needs assessments, fiscal feasibility assessments, and risk assessments.  Provides organizational training sessions and workforce development to include onboarding curriculums, skills training, and program curriculums.  Provides growth strategy plans, business plans, company business models, operational processes and procedures, organizational restructuring, business alignment, accountability and hand-offs.",,"541611, 541612, 541614, 611710",2027 Arnold Acres Drive  Pittsburgh PA 15205,P.O. Box 25356  Pittsburgh PA 15220,724-664-9752,,Vanessa@Connections4Success.Net,,
ACDBE,Connico Incorporated,"Connie Gowder, Mr. David Hunley","Cost estimating, scheduling, project management, resident project representation, DBE plans, fee reviews, claims, and CEI services",,"236116, 236210, 236220, 237120, 237130, 237310, 237990, 541611, 541612, 541613",2594 N. Mount Juliet Road  Mount Juliet TN 37122,2594 N. Mount Juliet Road  Mount Juliet TN 37122,615-758-7474,866-400-2543,dbe@connico.com,http://www.connico.com,
DBE,"Construction Consultant Services, Inc.",Ms. Roberta A Lacinski,"Engineering consulting firm performing highway and bridge inspection, project management, and OJT support services",,237310,"1121 Boyce Road, Suite 1200A  Pittsburgh PA 15241","1121 Boyce Road, Suite 1200A  Pittsburgh PA 15241",724-942-4860,724-942-4863,rlacinski@aol.com,,
DBE,"Construction Performance Management, LLC",Dale Gonzalez,"Commercial building construction, highway, street and bridge construction, other heavy and civil engineering construction, general management consulting services, and engineering services",,"236220, 237310, 237990, 541330, 541611",113 Castle Shannon Boulevard  Pittsburgh PA 15228,113 Castle Shannon Boulevard  Pittsburgh PA 15228,412-726-0454,412-726-0453,dgonzalez@cpm-llc.net,http://www.cpm-llc-net,
DBE,"Construction Recruiters America Staffing, Inc.","Diane Gurdak, Kamalla Gurdak, Kristine Orlandi","Contract services, construction staffing specialty trades laborers",,"561311, 561320","3309 Northlake Boulevard, Suite A102  West Palm Beach FL 33403","3309 Northlake Boulevard, Suite A102  West Palm Beach FL 33403",520-270-9923,888-457-3336,diane@crastaffing.com,http://www.crastaffing.com,
DBE,"Conti Testing Laboratories, Inc.",Ms. Patricia Otroba,"Analytical commercial laboratory specializing in fossil fuel, environmental analysis, barge surveying, gauging, and feasibility studies",,541380,3190 Industrial Boulevard  Bethel Park PA 15102,3190 Industrial Boulevard  Bethel Park PA 15102,412-833-7766,,contilab@ContiTesting.com,http://www.contitesting.com,
DBE,"Cooper Trading, Inc.",Peter G Cooper,"Supplier-commercial building products, blocks, lumber, windows, trusses, doors, hardware, millwork rim, roofing, cabinetry, masonry and concrete products, concrete restoration and protection products, and site work and heavy highway products,Electrical apparatus and equipment, wiring supplies and related equipment that include but not limited to electrical products, process controls and instrumentation supplies, physical security and datacom supplies . Ready mix concrete manufacturer and distributor.  Provides waterproofing, trenching, and installing french drains.  Provides concrete services including pouring, restoring, and sealing.  Provides excavating services.",,"238110, 238390, 238910, 327320, 423310, 423320, 423330, 423510, 423610, 423710, 423720",1078 Portal Lane  North Huntingdon PA 15642,PO Box 339  Irwin PA 15642,724-861-8830,724-861-8832,pete@ctipa.com,http://www.ctipa.com,
DBE,"CornerStone Consulting Group, Inc.",Ms. Jenifer L Anzenberger,Provide IT and data analytics consulting and permanent placement services.,,"541611, 561311, 561320, 561330",2168 Poor richards Lane  Pittsburgh PA 15237,2168 Poor richards Lane  Pittsburgh PA 15237,412-364-8350,412-364-8353,jenifer@cornerstone-pgh.com,http://www.cornerstone-pgh.com,
DBE,"Cosmos Technologies, Inc.",Frederick K Douglas,"Environmental consulting, environmental engineering, environmental research and development laboratories and environmental testing laboratories; quality assurance training; safety consulting services; construction management for commercial and institutional buildings, highways, roads, streets, bridges, water and sewer lines; geographical information systems (GIS) base mapping services. Also provides civil/site design and development, drafting services, water resources engineering, geospatial engineering and energy management, safety oversight services, facilities technical services and administrative support.  Public relations services.",,"236220, 237110, 237310, 541330, 541340, 541370, 541380, 541618, 541620, 541690, 541720, 541820, 561210, 611430","700 River Avenue, Suite 412  Pittsburgh PA 15212","700 River Avenue, Suite 412  Pittsburgh PA 15212",412-321-3951,412-321-3954,frederickdouglas@cosmostechnologiesinc.com,http://www.cosmostechnologiesinc.com,
DBE,"Costing Services Group, Inc.",Ms. Anita S Greiner,Construction cost estimating and construction budgeting,,"541350, 541420, 541690","1270 West Peachtree Street, NW, Suite 3  Atlanta GA 30309","1270 West Peachtree Street, NW, Suite 3  Atlanta GA 30309",404-815-9555,404-815-9666,anita@costingservicesgroup.com,http://www.costingservicesgroup.com,
DBE,"Courtman Painting, Inc.","Ms. Courtney Herman, Ms. Karen Herman","Commercial painting, wallcovering installation, and drywall finishing",,"238310, 238320",1638 Arlington Avenue  Pittsburgh PA 15210,1638 Arlington Avenue  Pittsburgh PA 15210,412-488-8747,412-488-8749,courtney.courtman@verizon.net,,
ACDBE,"Creative Foods National, LLC","Major F Riddick, SevernCapital LLC",Develop and manage food and beverage concession facilities at Pittsburgh International Airport and other airports in the state of Pennsylvania.,,722310,"8181 Professional Place, Suite 202  Landover MD 20785","8181 Professional Place, Suite 202  Landover MD 20785",301-577-8900,301-577-7600,mriddick@greatfoodsllc.com,http://www.greatfoodsllc.com,
DBE,"Crews Control, LLC",Ms. Lauren DiGiammarino,"Flagging and traffic control services; brick, stone, and related construction material; merchant wholesalers; specialized freight except used goods; trucking, local.",,"423320, 484220, 561990",9049 Marshall Road  Cranberry TWP PA 16066,9049 Marshall Road  Cranberry TWP PA 16066,724-944-0050,,lauren.digiammarino@crewscontrol-pa.com,,
DBE,"Crossroads Speech & Hearing, Inc.",Ms. Christie-Ann M Conrad,Provider of speech and hearing rehabilitation services,,621340,"3240 Washington Road, Suite 200  McMurray PA 15317","3240 Washington Road, Suite 200  McMurray PA 15317",724-941-4434,724-941-4714,caconrad@crossroadsspeech.com,http://www.crossroadsspeech.com,
DBE,Crown Cut Concierge,Tia Baker,"Concierge service, administrative, management consulting services",,"541611, 812990",418 Aniston Avenue  Pittsburgh PA 15210,418 Aniston Avenue  Pittsburgh PA 15210,412-853-7217,,tia@crowncutconcierge.com,,
DBE,"Cunningham's Construction Companies, LLC",Mr. Dorian Cunningham,"Construction contractor specializing in carpentry, scaffolding, welding, torch cutting, sign installation, lift operating, rigging and signaling",,"238130, 238190, 238290, 238350, 238990",3580 Innovation Way  Hermitage PA 16148,3580 Innovation Way  Hermitage PA 16148,724-877-0337,,dorianc@cunninghamsllc.com,,
DBE,"Cut 'N' Run Productions, LLC",Jordan McMillen,"Video production services that include commercials, training videos, events, photography, weddings, music videos, and DVD authoring",,"512110, 512191, 541430, 541921, 541922, 711130, 711510",1532 Beechview Avenue  Pittsburgh PA 15216,1532 Beechview Avenue  Pittsburgh PA 15216,412-343-3600,412-343-3606,jordan@cutnrunstudios.com,http://www.cutnrun.biz,
DBE,"D & D Engineering, Inc.",Ms. Virginia A Dailey,"Electrical engineering services including engineering design, consulting, construction management, facilities studies and troubleshooting",,541330,"35 Wilson Street, Suite 102  Pittsburgh PA 15223","35 Wilson Street, Suite 102  Pittsburgh PA 15223",412-784-1560,412-784-1561,dailey@ddengr.com,http://www.ddengr.com,
DBE,"D.H. Lloyd & Associates, Inc.",Denise H Lloyd,Commerical insurance broker.,,524210,"1625 K. Street, N.W. Suite 330  Washington DC 20006","1625 K. Street, N.W. Suite 330  Washington DC 20006",202-223-1506,202-223-9438,lloydd@dhlloyd.com,http://www.dhlloyd.com,
DBE,"D.W. Custom Painting, Inc.",Janet L FretzWingrove,Commercial painting; complete finishing of precast prison cells,,"238110, 238320",1396 Rostraver Road  Belle Vernon PA 15012,1396 Rostraver Road  Belle Vernon PA 15012,724-929-4840,724-684-6608,Janetfw@dwcustompainting.com,,
DBE,"DAG Supply Company, LLC",Ms. Daniela Folino,Supply and trucking,,"423320, 484220",1545 Fox Chapel Road  Pittsburgh PA 15238,Post Office Box 111236  Pittsburgh PA 15238,412-804-1464,412-963-7215,danifolino@verizon.net,,
DBE,"DBS Telecommunications, Inc.","Kathleen Glover, Nelson E Johnson","Voice and data cabling, business telephone system networks, overhead paging and speaker systems, surveillance camera installation, entry system installation, and computer network services",,"238210, 517911, 541512",310 Creek Dr  Slippery Rock PA 16057,310 Creek Dr  Slippery Rock PA 16057,724-285-9088,724-283-3040,Kate@dbs-tel.com,https://www.dbs-tel.com,
DBE,"DG Training Solutions, Inc.",Ms. Denise A Galloni,"Professional and management development training, consulting, and media marketing. Also designs and hosts workshops and participates in events as a keynote speaker.",,611430,133 Statewood Court  Bethel Park PA 15102,133 Statewood Court  Bethel Park PA 15102,412-715-3050,,dgtrainingsolutionsinc@gmail.com,http://www.dgtrainingsolutionsinc.com,
DBE,DJ Courier Service LLC,"Deane C Smith, Jessica Hall",Hand delivery of freight customers directly to United States Customs at Pittsburgh International Airport.  Direct delivery of documents and small packages from broker to carrier.  One-hour delivery available.,,492210,3309 North 31st Avenue  New Brighton PA 15066,3309 North 31st Avenue  New Brighton PA 15066,724-544-3328,,djcourierserv@gmail.com,,
DBE,"DMS Water Solutions Co., LLC",Dianne M Sumego,Provides civil engineering consulting services.,,541330,429 Buttevant Drive  Munroe Falls OH 44262,429 Buttevant Drive  Munroe Falls OH 44262,330-607-5519,,DSumego@DMSwaterSolutions.com,,
DBE,DNA Pro Cleaning,"Ashley Maple, David Maple","Cleaning services for commercial and residential properties. Services include vacuuming, mopping, dusting, carpet spot removal, trash removal, and other cleaning needs.",,561720,3616 Mayfair Street  McKeesport PA 15132,3616 Mayfair Street  McKeesport PA 15132,412-969-1341,,DNAProCleaning@Gmail.com,,
DBE,"DSHinkson Lumber and Supplies, LLC",Ms. Deborah Hinkson,"Supplier of lumber and related construction materials, geotextile materials, inlet filter bags, and mulch control netting",,"423310, 424610",2166 Hazen Road  Hermitage PA 16148,2166 Hazen Road  Hermitage PA 16148,724-981-4660,724-981-4660,dshinksonlumber@yahoo.com,,
DBE,"DSL Communications, Inc.",Ms. Gail A Trunk,Low voltage cabling,,238210,116 Maid Marion Lane  McMurray PA 15317,P.O. Box 1516  McMurray PA 15317,724-942-3475,724-942-3476,gtrunk@dslcommunications.net,,
DBE,"Daryl Houston Trucking, LLC",Daryl D Houston,"Trucking, aggregates and materials",,"423320, 425120, 484220",825 Bayridge avenue  Pittsburgh PA 15226,825 Bayridge avenue  Pittsburgh PA 15226,412-475-5985,412-388-0595,Daryl_712000@yahoo.com,,
Both (DBE & ACDBE),Daryl Milliner Media,Mr. Daryl Milliner,"Full-service advertising, media planning, and media buying agency",,541810,654 Illinois Avenue  Pittsburgh PA 15221,654 Illinois Avenue  Pittsburgh PA 15221,412-657-2643,866-998-1971,daryl@entcommedia.com,http://www.entcommedia.com,
DBE,"Data Consulting Solutions, Inc.",William I Burleigh,"Consulting firm providing network management, custom programming, needs analysis surveys, computer hardware/software solutions, systems training and support, and communications solutions",,"541511, 541512, 541513, 541519",700 River Avenue  Pittsburgh PA 15212,700 River Avenue  Pittsburgh PA 15212,412-401-3868,412-401-3868,dataconsulting@netzero.net,,
DBE,Davie Kitchen and Bath,Willard D Davie,"Design, sales, remodeling and installation of kitchens and baths. Also a representative for sales for several national cabinetry manufacturers.",,"236118, 238220, 238320, 238330, 238350, 425120",3704 Center Avenue  West Mifflin PA 15122,3704 Center Avenue  West Mifflin PA 15122,412-969-9279,412-205-3561,Willard@DavieKitchenAndBath.com,http://DavieKitchenandbath.com,
DBE,Davis Consulting Solutions LLC,Danielle Davis,"Business support training and consulting services providing professional business development, strategic planning, staff training, and supportive referral services",,"541611, 541612, 541613, 611430",970 Johnston Avenue  Pittsburgh PA 15207,970 Johnston Avenue  Pittsburgh PA 15207,412-407-2499,412-251-5740,Info@DavisConsultSolutions.com,http://www.DavisConsultSolutions.com,
DBE,"DeLoJe, LLC",Ms. Georgetta Rue,"Professional development, workforce training, change management or turn-around assistance as well as youth and adult program management; funding assistance through grant writing and marketing; video production,  website design, administrative management consulting, and marketing consulting",,"512110, 541511, 541611, 541613, 561312, 561410, 611420, 611430, 611691, 611710",4817 Chatsworth Street  Pittsburgh PA 15207,4817 Chatsworth Street  Pittsburgh PA 15207,412-728-8897,412-421-0724,grue@deloje.com,https://www.deloje.com,
DBE,Deborah Knox,Deborah Knox,"Performs business development and marketing support, writing, editing, graphic design, community event organization and documentation services. Also offers public relations planning, website development, business planning, marketing, and event planning.",,"541613, 541910, 651410, 711510",5600 Munhall Road Suite 505  Pittsburgh PA 15217,5600 Munhall Road Suite 505  Pittsburgh PA 15217,412-344-3966,,deb@knox412.com,,
ACDBE,"Departure Media, Inc.",Ms. Leslie Bensen,Airport advertising,,"541810, 541840, 541850","180 Meeting Street, Suite 310  Charleston SC 29401","180 Meeting Street, Suite 310  Charleston SC 29401",843-571-2299,843-571-2294,lcbensen@departure-media.com,http://www.departure-media.com,
DBE,"Design Labor Staffing Agency, LLC dba Design Business Solutions, LLC",Ms. Monica White,"Provides multiple workplace solutions for companies.  Finds candidates to fill open positions through direct placement or temporary to permanent hire. Offers team-building workshops and media presentations. The media presentations can produce instructional, welcome and social presentations for companies to share with colleagues customers. Also serves as a resource center to assist individuals with personal growth and re-entry into the workforce.",,"561311, 611430",1529 Cooper Avenue  Pittsburgh PA 15212,1529 Cooper Avenue  Pittsburgh PA 15212,412-734-8081,412-734-8081,whitem@designlaborstaffing.net,http://designlaborstaffing.net,
DBE,"Designhus, LLC",Michele R Grindheim,"Residential and commercial interior design services, design consultant and manufacturer's representative for residential and commercial furniture, fabric, wallcoverings, window blinds and trim.",,"425120, 541410",125 Conestoga Road  Pittsburgh PA 15235,125 Conestoga Road  Pittsburgh PA 15235,412-606-9647,412-243-6936,info@dhmodern.com,http://www.dhmodern.com,
DBE,"DigitHead, Inc.",Ms. Jennifer Beam,Sales and distribution of pre-packaged standard network connectivity components and broker custom network connectivity components.  Network connectivity consulting and advice.,,"423420, 423690, 425110, 443142",1168 Washington Pike Ste. 204  Bridgeville PA 15017,1168 Washington Pike Ste. 204  Bridgeville PA 15017,412-257-3550,888-503-2327,sales@digitheadinc.com,http://www.digitheadinc.com,
DBE,"Digital Building Services, LLC",Jose Mesa,"Provides laser scanning and BIM services, drafting services, and surveying and mapping (except Geophysical) services",,"541340, 541370",11290 SW 30th Street  Miami FL 33165,11290 SW 30th Street  Miami FL 33165,305-202-1208,,jmesa@dbuilds.com,,
DBE,Direct Results BSP Inc.,Ms. Pamela Blaker,"Advertising, marketing, graphic design, sign shop, vehicle graphic wraps, decals, highway signs, screen printing, embroidery, monthly newspaper, promotional products, safety training, construction supplies, safety supplies and services",,"511110, 541430, 541890",185 Wade Street  Waynesburg PA 15370,185 Wade Street  Waynesburg PA 15370,724-627-2040,724-627-4070,pam@directresults.us,,
DBE,"Diversified Commodities, Inc. d/b/a DCI Logistics",Craig M Bingham,"Various safety and industrial items, concrete blocks, electrical items, ready-mix concrete, janitorial supplies, lumber and wood products, roofing, siding, and insulation materials. Also provides transportation services including trucking and ocean freight, janitorial services, concrete finishing, specialized freight hauling services, both local and long-distance.",,"238110, 238990, 327320, 423310, 423320, 423330, 423610, 423850, 425120, 444190, 484220, 484230, 488510, 541614, 561720",1 Lane Road  Carnegie PA 15106,P.O. Box 515  Carnegie PA 15106,412-429-8564,412-429-8313,craig@dcilogistics.net,http://www.dci-bing.com,
DBE,"Doliveira Systems, LLC",Jamie Doliveira,"Roofing contractor and siding contractor.  Commercial screen printing company that specializes in apparel decorating including screen printing, stone embellishments, and embroidery.",,"238160, 238170, 315990, 323113","1237 Penn Ave, Ste. 200  Hollsopple PA 15935","1237 Penn Ave, Ste. 200  Hollsopple PA 15935",800-311-6072,800-311-6072,jamie@dsystems1.com,http://www.dsystems1.com,
DBE,"Dorazio Law Group, P.C.",Ms. Carolyn L Dorazio,Law firm,,541110,120 Church Road  Wexford PA 15090,120 Church Road  Wexford PA 15090,724-934-6325,724-935-8863,carolyn.dorazio@doraziolawgroup.com,,
DBE,"Dot's Distributor, LLC",Ms. Dorothy J Skoko,Medical gloves and specialty items,,"423450, 423910, 424210",300 Mt. Lebanon Boulevard  Castle Shannon PA 15234,300 Mt. Lebanon Boulevard  Castle Shannon PA 15234,412-531-7313,412-531-7313,skoko.dot@comcast.net,,
DBE,"Dragonfly Industries, LLC","Anita Macias, Mr. Joseph Schrock Jr.","Specialized freight trucking, local. Process, physical distribution, and logistics consulting services. Other waste collection. Excavating services.",,"238910, 484220, 541614, 562119",105 Neville avenue  McKees Rocks PA 15136,105 Neville avenue  McKees Rocks PA 15136,412-657-8540,412-563-6673,anitam@dragonflyindustriesllc.com,https://www.dragonflyindustriesllc.com,
DBE,"Dream City Trucking & Flagging, LLC",Donielle R Owen,"Service company providing flagging, scheduling for tri-axle dump trucks, and scheduling laborers. Wholesale trade agents and brokers. Construction, mining, and forestry machinery and equipment rental and leasing.  Other commercial and industrial machinery and equipment rental and leasing.  Other construction material merchant wholesalers.",,"423390, 425120, 532412, 532490, 541614, 561990",634 Churchill Avenue  Pittsburgh PA 15235,634 Churchill Avenue  Pittsburgh PA 15235,678-360-3404,412-727-7811,info@dctfpa.com,http://www.dctfpa.com,
DBE,"Dream City Trucking, LLC",Leverett A Diggs,"Hauling, trucking. Brick, stone, and related construction material merchant wholesalers. Solid waste landfill.  Hazardous waste collection. Wholesale trade agents and brokers. Other waste collection.",,"423320, 425120, 484110, 484220, 562112, 562119, 562212",634 Churchill Avenue  Pittsburgh PA 15235,634 Churchill Avenue  Pittsburgh PA 15235,412-377-2953,412-737-7811,info@dreamcitytrucking.com,http://www.dreamcitytrucking.com,
DBE,"Dynotec, Inc.",Suthanthira Vallipuram,"Civil engineering design and construction management services including bridge design, highway design, construction inspection, utilities engineering, traffic signals, planning studies, and report preparation.  Architectural Services.",,"541310, 541330, 541370","800 Vinial Street, Suite B311  Pittsburgh PA 15212","2931 E. Dublin-Granville Road, Suite 200  Columbus OH 43231",614-880-7320,614-880-7324,vhead@dynotecinc.com,http://www.dynotecinc.com,
DBE,E and M Bradshaw Trucking,Edward Bradshaw,Freight broker.,,488510,11029 Azalea Drive  Pittsburgh PA 15235,11029 Azalea Drive  Pittsburgh PA 15235,412-793-3659,,EdwardBradshaw65@iCloud.com,,
DBE,"E. Holdings, Inc.",Mr. Irvin Williams,"Administrative management and general management consulting services; management and consulting services for public participation and community involvement that includes meeting coordination and facilitation; database management, strategic planning for media and community relations, issues campaigns, data processing, marketing consulting services, research and development in the social sciences and humanities, display advertising, marketing research and public opinion polling, document preparation services, professional and management development training.",,"518210, 519190, 541430, 541513, 541611, 541613, 541620, 541720, 541820, 541850, 541910, 561110, 561410",1801 Centre Avenue #313  Pittsburgh PA 15219,1801 Centre Avenue #313  Pittsburgh PA 15219,412-860-6290,,irvin.williams@eholdings.biz,,
DBE,"E. L. Katz Consulting, LLC",Ms. Emily L Katz,"Consulting services with a focus on health care, policy, public health, health insurance, managed care, project management, government relations, leadership development, communications, research, writing, and analysis",,"541618, 561110, 813920, 921110, 923120",255 West Pomfret Street  Carlisle PA 17013,255 West Pomfret Street  Carlisle PA 17013,717-446-4304,,emily@elkatz.com,http://www.elkatz.com,
DBE,"EBONY Concrete Asphalt & Excavation, LLC",Ms. Ebony Thomas,"Specializes in concrete asphalt, retaining walls up to six feet, excavation, demolition, crushing, hauling, and clean-ups",,"238140, 238910, 238990, 561790, 562111","651 Holiday Drive, Foster Plaza 5, Suite 300  Pittsburgh PA 15210","651 Holiday Drive, Foster Plaza 5, Suite 300  Pittsburgh PA 15210",800-987-0147,,ethomas@ebonyconcretellc.com,,
DBE,"ED3 Consultants, Inc.",Ms. Denise L Palmer,"Consulting services including design, surveying, drafting, engineering, comprehensive construction management, and inspection services",,"236220, 237990, 541330, 541340, 541350, 541370","6000 Town Center Boulevard, Suite 155  Canonsburg PA 15317",P.O. Box 589  Canonsburg PA 15317,866-333-9131,866-335-9868,ed3@ed3.us,http://www.ed3design.com,
DBE,"EIM Services, Inc.",Mr. Etienne Bakoua-Mbebelet,"Management consulting, financial management, staffing, information technology consulting, energy solutions and construction services. Certified Public Accountants.  Other accounting services.",,"541211, 541219, 541611, 561320",214 Farmington Road  Pittsburgh PA 15212,214 Farmington Road  Pittsburgh PA 15212,412-301-1781,,sbakoua@EIMservicesInc.com,,
DBE,EKS Solutions LLC,Evaine K Sing,"Provides consulting solutions to community-focused efforts that fill short-term needs such as inclusive design, operational support, program implementation, policy development, community engagement and planning facilitation, bookkeeping assistance, landscape planning and vacant land reuse.",,"541320, 541611",915 Peralta Street  Pittsburgh PA 15212,915 Peralta Street  Pittsburgh PA 15212,412-605-7465,,Evaine@EKSsolutions.com,,
DBE,"EXICO, Inc.",Mr. Eustace Uku,"Management consulting firm providing services in financial management, registered municipal financial advisor and registered investment advisor, general management, training, international trade, contract personnel, staffing, claim recovery, renting, leasing and managing of space, retirement planning, accounting and auditing, temporary accounting and auditing staffing and temporary help services.  Construction management  excavation, water & sewer lines, highway & bridge inspection, road construction safety compliance and real estate development.",,"236115, 236116, 236117, 236118, 236220, 237110, 237310, 238910, 523930, 531120, 541211, 541611, 561320",214 Farmington Road  Pittsburgh PA 15215,214 Farmington Road  Pittsburgh PA 15215,412-261-3073,412-772-1051,eouku@exicoinc.com,http://www.exicoinc.com,
DBE,"Ebert Enterprises, Inc.t/a Curry Printing & Copy Center",Ms. Paula Fargo,"Commercial printing and publishing, stationery and tablets, miscellaneous publishing, gravure, NEC, bookbinding and related work, graphic design, typesetting and platemaking",,"314999, 322230, 323111, 323120, 423990, 424990, 511130, 511199, 541430, 541890",314 N. Charles Street  Baltimore MD 21201,314 N. Charles Street  Baltimore MD 21201,410-685-2679,410-685-1018,paula@curryprint.com,http://www.curryprint.com,
DBE,"Edge Painting, LLC","Rebecca M Finney, James Finney","Residential, commercial, and light industrial painting services.",,238320,13 Spring Street  Pittsburgh PA 15209,13 Spring Street  Pittsburgh PA 15209,412-821-3804,412-821-0601,edgepainting@verizon.net,,
DBE,Elite Medical Consultants,Daria L MitchellSegers,"Medical consulting, training and certification of medical professionals -- as well as non-professionals -- in CPR and other related services",,611699,2003 Robinson Boulevard  Pittsburgh PA 15221,2003 Robinson Boulevard  Pittsburgh PA 15221,412-282-8022,412-370-2272,elitemedicalconsultants@gmail.com,,
DBE,"Elliance, Inc.",Mr. Abu Noaman,Provides e-business and e-marketing tools for clients interested in conducting business on the internet,,"541511, 541512, 541513","600 River Avenue, #201  Pittsburgh PA 15212","600 River Avenue, #201  Pittsburgh PA 15212",412-586-1480,412-586-1481,Aliya@elliance.com,http://www.elliance.com,
DBE,Ellison Service Station,Mark H Ellison,"Auto emissions and state inspections, and minor automobile repairs",,"811111, 811198",2166 Bedford Avenue  Pittsburgh PA 15219,2166 Bedford Avenue  Pittsburgh PA 15219,412-391-2416,,ellisonmark30@yahoo.com,,
DBE,Emanuel Rawlings CPA/MBA,Emanuel Rawlings,Accounting and bookkeeping services,,541211,220 Janice Drive  Pittsburgh PA 15235,220 Janice Drive  Pittsburgh PA 15235,412-731-3951,412-731-3318,manough@comcast.net,,
DBE,Emerald Electrical Services LLC,Deborah Morehead,"Electrical contractor, plumbing, heating and air conditioning contractor, commercial and institutional building construction, and electrical apparatus and equipment, wiring supplies, and related equipment merchant wholesaler; supplier and merchant wholesaler",,"236220, 238210, 238220, 423430, 423440, 423610, 423990, 425120",975 Garden City Drive  Monroeville PA 15146,975 Garden City Drive  Monroeville PA 15146,412-373-4430,724-335-1380,more1head@gmail.com,http://www.emeraldes.com,
DBE,Encore Event Design,Stacey L Barlow Hill,"Event design and decorating services including linen rentals, chair covers, custom linens, lighting, backdrops, ceiling draping, centerpieces, balloon design, venue rental, and custom design",,"541410, 812331, 812990",452 South Main Street  Pittsburgh PA 15220,452 South Main Street  Pittsburgh PA 15220,412-923-5355,412-924-8683,events@encoreeventdesign.com,http://www.encoreeventdesign.com,
DBE,Enhanced Creativity,Rae Coleman,"Wedding consultant, events, and custom gifts. Provides linen selections, sets for events, faux flowers and vase rentals.",,812990,1123 Strahley Place  Pittsburgh PA 15220,1123 Strahley Place  Pittsburgh PA 15220,724-831-7321,724-831-7321,enhancedcreativity2009@gmail.com,http://www.enhancedcreativity.com,
DBE,"Entergy Electric Company, LLC","Mr. James Howard, Ms. Stephanie Warren, Mr. Dwayne Dawkins",Residential electrical work.,,238210,"27 Gary Street, Suite 2  Carnegie PA 15106","27 Gary Street, Suite 2  Carnegie PA 15106",412-429-1300,412-429-1333,entergyelectric@aol.com,http://www.entergyelectric.com,
DBE,"Environmental Data Services, Ltd.",Diane Waldschmidt,"Environmental consulting services, other scientific and technical consulting services, and data processing, hosting and related services",,"518210, 541620, 561690",5 Brilliant Avenue  Pittsburgh PA 15215,5 Brilliant Avenue  Pittsburgh PA 15215,412-408-3288,,dwaldschmidt@eds-us.net,http://www.eds-pa.com,
DBE,"Environmental Data Validation, Inc.",Dr. Maxine WrightWalters,"Environmental, public health, scientific research, and consulting",,"541380, 541620",1326 Orangewood Avenue  Pittsburgh PA 15216,1326 Orangewood Avenue  Pittsburgh PA 15216,412-341-5281,412-571-1932,mwalters@edv-inc.com,http://www.edv-inc.com,
DBE,Ervin Home Beautification,Mr. Samuel Ervin Sr.,"Commercial and residential janitorial, painting, landscaping, leaf and snow removal, and construction clean-up services",,"238320, 238990, 561720, 561730",133 Rochelle Street  Pittsburgh PA 15210,133 Rochelle Street  Pittsburgh PA 15210,412-583-2950,412-727-1256,SamErvin63@gmail.com,,
DBE,"Everyone Can Achieve, LLC",Mr. Earl L Cooper,"Flagging services, asbestos & hazardous material abatement, power washing, and painting",,"238320, 561790, 561990, 562910",2010 Woodlawn Avenue  Wilmington DE 19806,2010 Woodlawn Avenue  Wilmington DE 19806,404-317-1228,,greatness2@me.com,,
DBE,F & M Technology LLP,"Higinio Mendoza Jr., Karen A Feitt","Offers service and health/wellness products. Computer networking specifically geared for LAN and WAN networks, and legal services/paralegal/CLA.  Product supplier ASEA: redox signaling molecules enhancement.",,"424490, 541199, 541513, 541519",1036 Jackman Avenue  Pittsburgh PA 15202,1036 Jackman Avenue  Pittsburgh PA 15202,412-584-2082,,TechnologyFM@gmail.com,,
